id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree
0,0,2.456766,0,0,0,5017600,0,0,0
1,2.509,2.986604,28800,0.25,15,0,0,0,0
2,5.505,0.697959,32000,1,15,0,0,0,0
3,6.229,0.001562,0,1,0,0,0,0,0
4,6.237,0.768813,256000,1,15,0,0,0,0
5,7.008,6.463206,6400,0.25,15,0,0,0,0
6,13.476,0.235679,80000,1,15,0,0,0,0
7,13.721,0.001581,0,1,0,0,0,0,0
8,13.729,0.954717,640000,1,15,0,0,0,0
9,14.688,0.754507,64,0.25,4,0,0,0,0
10,15.382,0.002035,0,0,0,6400,0,0,0
11,15.403,0.036644,6400,1,13,0,0,0,0
12,15.443,0.028614,1000,1,12,0,0,0,0
13,15.474,0.075127,100,0.375,5,0,0,0,0
14,15.571,0.002021,0,0,0,6400,0,0,0
15,15.595,0.005048,400,1,4,0,0,0,0
16,15.62,0.074996,12800,1,14,0,0,0,0
17,15.697,0.008168,0,0,0,64000,0,0,0
